elapsed_s,timestamp,gpu_uuid,sm_clock_mhz,mem_clock_mhz,temp_c,power_w,util_pct
874.0,2026/09/22 06:41:52.545,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.89,99
879.1,2026/09/22 06:41:57.591,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.19,99
884.2,2026/09/22 06:42:02.677,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.08,99
889.3,2026/09/22 06:42:07.768,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.9,99
894.3,2026/09/22 06:42:12.853,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.03,99
899.5,2026/09/22 06:42:18.007,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.09,99
904.6,2026/09/22 06:42:23.092,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.18,99
909.7,2026/09/22 06:42:28.176,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.15,99
914.8,2026/09/22 06:42:33.260,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.21,99
919.8,2026/09/22 06:42:38.345,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,449.83,99
924.9,2026/09/22 06:42:43.428,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.06,99
930.0,2026/09/22 06:42:48.492,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,80,449.98,99
935.1,2026/09/22 06:42:53.576,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.05,99
940.2,2026/09/22 06:42:58.660,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.3,99
945.2,2026/09/22 06:43:03.744,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,80,450.08,99
950.3,2026/09/22 06:43:08.828,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.2,99
955.4,2026/09/22 06:43:13.916,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,80,450.1,99
960.5,2026/09/22 06:43:19.004,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,449.97,99
965.5,2026/09/22 06:43:24.050,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.05,99
970.6,2026/09/22 06:43:29.132,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.08,99
975.7,2026/09/22 06:43:34.212,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.26,99
980.8,2026/09/22 06:43:39.296,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.0,99
985.9,2026/09/22 06:43:44.380,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,80,450.18,99
991.0,2026/09/22 06:43:49.465,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,80,449.93,99
996.0,2026/09/22 06:43:54.548,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.03,99
1001.1,2026/09/22 06:43:59.632,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.45,99
1006.2,2026/09/22 06:44:04.716,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.35,99
1011.3,2026/09/22 06:44:09.800,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.37,99
1016.4,2026/09/22 06:44:14.884,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.11,99
1021.5,2026/09/22 06:44:19.964,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.26,99
1026.5,2026/09/22 06:44:25.048,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.07,99
1031.6,2026/09/22 06:44:30.132,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,449.92,99
1036.7,2026/09/22 06:44:35.226,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2340,10501,79,450.15,99
1041.8,2026/09/22 06:44:40.316,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2310,10501,79,450.17,99
1046.9,2026/09/22 06:44:45.401,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.24,99
1052.0,2026/09/22 06:44:50.488,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.11,99
1057.1,2026/09/22 06:44:55.574,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.2,99
1062.2,2026/09/22 06:45:00.660,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.17,99
1067.2,2026/09/22 06:45:05.748,GPU-f7f152a8-7ef2-fa17-4745-38a374331d8c,2325,10501,79,450.3,99
